Sample	Hypothesis	Batch	Days_Post_Birth	Mother_Infant	Type	AMP	Cage	Run
I_C10-B1	1	1	1	Infant	Serum	TRUE	10	1
I_C10-B14	1	1	14	Infant	Serum	TRUE	10	1
I_C10-B21	1	1	21	Infant	Serum	TRUE	10	1
I_C10-B7	1	1	7	Infant	Serum	TRUE	10	1
I_C1-B1	1	1	1	Infant	Serum	FALSE	1	1
I_C1-B14	1	1	14	Infant	Serum	FALSE	1	1
I_C1-B21	1	1	21	Infant	Serum	FALSE	1	1
I_C1-B7	1	1	7	Infant	Serum	FALSE	1	1
I_C2-B1	1	1	1	Infant	Serum	FALSE	2	1
I_C3-B1	1	1	1	Infant	Serum	FALSE	3	1
I_C4-B1	1	1	1	Infant	Serum	FALSE	4	1
I_C4-B14	1	1	14	Infant	Serum	FALSE	4	1
I_C4-B21	1	1	21	Infant	Serum	FALSE	4	1
I_C4-B7	1	1	7	Infant	Serum	FALSE	4	1
I_C5-B1	1	1	1	Infant	Serum	FALSE	5	1
I_C6-B1	1	1	1	Infant	Serum	TRUE	6	1
I_C6-B14	1	1	14	Infant	Serum	TRUE	6	1
I_C6-B21	1	1	21	Infant	Serum	TRUE	6	1
I_C6-B7	1	1	7	Infant	Serum	TRUE	6	1
I_C7-B1	1	1	1	Infant	Serum	TRUE	7	1
I_C7-B14	1	1	14	Infant	Serum	TRUE	7	1
I_C7-B21	1	1	21	Infant	Serum	TRUE	7	1
I_C7-B7	1	1	7	Infant	Serum	TRUE	7	1
I_C8-B1	1	1	1	Infant	Serum	TRUE	8	1
I_C8-B14	1	1	14	Infant	Serum	TRUE	8	1
I_C8-B21	1	1	21	Infant	Serum	TRUE	8	1
I_C8-B7	1	1	7	Infant	Serum	TRUE	8	1
ME_C10-B1	1	1	1	Mother	Fecal	TRUE	10	1
ME_C10-B14	1	1	14	Mother	Fecal	TRUE	10	1
ME_C10-B2	1	1	2	Mother	Fecal	TRUE	10	1
ME_C10-B21	1	1	21	Mother	Fecal	TRUE	10	1
ME_C10-B7	1	1	7	Mother	Fecal	TRUE	10	1
ME_C10-E16	1	1	-3	Mother	Fecal	TRUE	10	1
ME_C10-E17	1	1	-2	Mother	Fecal	TRUE	10	1
ME_C10-E18	1	1	-1	Mother	Fecal	TRUE	10	1
ME_C1-B1	1	1	1	Mother	Fecal	FALSE	1	1
ME_C1-B14	1	1	14	Mother	Fecal	FALSE	1	1
ME_C1-B2	1	1	2	Mother	Fecal	FALSE	1	1
ME_C1-B21	1	1	21	Mother	Fecal	FALSE	1	1
ME_C1-B7	1	1	7	Mother	Fecal	FALSE	1	1
ME_C1-E16	1	1	-3	Mother	Fecal	FALSE	1	1
ME_C1-E17	1	1	-2	Mother	Fecal	FALSE	1	1
ME_C1-E18	1	1	-1	Mother	Fecal	FALSE	1	1
ME_C2-B1	1	1	1	Mother	Fecal	FALSE	2	1
ME_C2-B2	1	1	2	Mother	Fecal	FALSE	2	1
ME_C2-E16	1	1	-3	Mother	Fecal	FALSE	2	1
ME_C2-E17	1	1	-2	Mother	Fecal	FALSE	2	1
ME_C2-E18	1	1	-1	Mother	Fecal	FALSE	2	1
ME_C3-B1	1	1	1	Mother	Fecal	FALSE	3	1
ME_C3-B14	1	1	14	Mother	Fecal	FALSE	3	1
ME_C3-B2	1	1	2	Mother	Fecal	FALSE	3	1
ME_C3-B21	1	1	21	Mother	Fecal	FALSE	3	1
ME_C3-B7	1	1	7	Mother	Fecal	FALSE	3	1
ME_C3-E16	1	1	-3	Mother	Fecal	FALSE	3	1
ME_C3-E17	1	1	-2	Mother	Fecal	FALSE	3	1
ME_C3-E18	1	1	-1	Mother	Fecal	FALSE	3	1
ME_C4-B1	1	1	1	Mother	Fecal	FALSE	4	1
ME_C4-B14	1	1	14	Mother	Fecal	FALSE	4	1
ME_C4-B2	1	1	2	Mother	Fecal	FALSE	4	1
ME_C4-B21	1	1	21	Mother	Fecal	FALSE	4	1
ME_C4-B7	1	1	7	Mother	Fecal	FALSE	4	1
ME_C4-E16	1	1	-3	Mother	Fecal	FALSE	4	1
ME_C4-E17	1	1	-2	Mother	Fecal	FALSE	4	1
ME_C4-E18	1	1	-1	Mother	Fecal	FALSE	4	1
ME_C5-B1	1	1	1	Mother	Fecal	FALSE	5	1
ME_C5-B14	1	1	14	Mother	Fecal	FALSE	5	1
ME_C5-B2	1	1	2	Mother	Fecal	FALSE	5	1
ME_C5-B21	1	1	21	Mother	Fecal	FALSE	5	1
ME_C5-B7	1	1	7	Mother	Fecal	FALSE	5	1
ME_C5-E16	1	1	-3	Mother	Fecal	FALSE	5	1
ME_C5-E17	1	1	-2	Mother	Fecal	FALSE	5	1
ME_C6-B1	1	1	1	Mother	Fecal	TRUE	6	1
ME_C6-B14	1	1	14	Mother	Fecal	TRUE	6	1
ME_C6-B2	1	1	2	Mother	Fecal	TRUE	6	1
ME_C6-B21	1	1	21	Mother	Fecal	TRUE	6	1
ME_C6-B7	1	1	7	Mother	Fecal	TRUE	6	1
ME_C6-E16	1	1	-3	Mother	Fecal	TRUE	6	1
ME_C6-E17	1	1	-2	Mother	Fecal	TRUE	6	1
ME_C6-E18	1	1	-1	Mother	Fecal	TRUE	6	1
ME_C7-B1	1	1	1	Mother	Fecal	TRUE	7	1
ME_C7-B14	1	1	14	Mother	Fecal	TRUE	7	1
ME_C7-B2	1	1	2	Mother	Fecal	TRUE	7	1
ME_C7-B21	1	1	21	Mother	Fecal	TRUE	7	1
ME_C7-B7	1	1	7	Mother	Fecal	TRUE	7	1
ME_C7-E16	1	1	-3	Mother	Fecal	TRUE	7	1
ME_C7-E17	1	1	-2	Mother	Fecal	TRUE	7	1
ME_C7-E18	1	1	-1	Mother	Fecal	TRUE	7	1
ME_C8-B1	1	1	1	Mother	Fecal	TRUE	8	1
ME_C8-B14	1	1	14	Mother	Fecal	TRUE	8	1
ME_C8-B2	1	1	2	Mother	Fecal	TRUE	8	1
ME_C8-B21	1	1	21	Mother	Fecal	TRUE	8	1
ME_C8-B7	1	1	7	Mother	Fecal	TRUE	8	1
ME_C8-E16	1	1	-3	Mother	Fecal	TRUE	8	1
ME_C8-E17	1	1	-2	Mother	Fecal	TRUE	8	1
ME_C8-E18	1	1	-1	Mother	Fecal	TRUE	8	1
ME_C9-B1	1	1	1	Mother	Fecal	TRUE	9	1
ME_C9-B14	1	1	14	Mother	Fecal	TRUE	9	1
ME_C9-B2	1	1	2	Mother	Fecal	TRUE	9	1
ME_C9-B21	1	1	21	Mother	Fecal	TRUE	9	1
ME_C9-B7	1	1	7	Mother	Fecal	TRUE	9	1
ME_C9-E16	1	1	-3	Mother	Fecal	TRUE	9	1
MEI_C10-B14	1	1	14	Infant	Fecal	TRUE	10	1
MEI_C10-B21	1	1	21	Infant	Fecal	TRUE	10	1
MEI_C10-B7	1	1	7	Infant	Fecal	TRUE	10	1
MEI_C1-B14	1	1	14	Infant	Fecal	FALSE	1	1
MEI_C1-B21	1	1	21	Infant	Fecal	FALSE	1	1
MEI_C1-B7	1	1	7	Infant	Fecal	FALSE	1	1
MEI_C4-B14	1	1	14	Infant	Fecal	FALSE	4	1
MEI_C4-B21	1	1	21	Infant	Fecal	FALSE	4	1
MEI_C4-B7	1	1	7	Infant	Fecal	FALSE	4	1
MEI_C6-B14	1	1	14	Infant	Fecal	TRUE	6	1
MEI_C6-B21	1	1	21	Infant	Fecal	TRUE	6	1
MEI_C6-B7	1	1	7	Infant	Fecal	TRUE	6	1
MEI_C7-B14	1	1	14	Infant	Fecal	TRUE	7	1
MEI_C7-B7	1	1	7	Infant	Fecal	TRUE	7	1
MEI_C8-B14	1	1	14	Infant	Fecal	TRUE	8	1
MEI_C8-B21	1	1	21	Infant	Fecal	TRUE	8	1
MEI_C8-B7	1	1	7	Infant	Fecal	TRUE	8	1
MEI_C7-B21	1	1	21	Infant	Fecal	TRUE	9	1
Mom_C10-B1	1	1	1	Mother	Serum	TRUE	10	1
Mom_C10-B14	1	1	14	Mother	Serum	TRUE	10	1
Mom_C10-B21	1	1	21	Mother	Serum	TRUE	10	1
Mom_C10-B7	1	1	7	Mother	Serum	TRUE	10	1
Mom_C1-B1	1	1	1	Mother	Serum	FALSE	1	1
Mom_C1-B14	1	1	14	Mother	Serum	FALSE	1	1
Mom_C1-B21	1	1	21	Mother	Serum	FALSE	1	1
Mom_C1-B7	1	1	7	Mother	Serum	FALSE	1	1
Mom_C2-B1	1	1	1	Mother	Serum	FALSE	2	1
Mom_C3-B1	1	1	1	Mother	Serum	FALSE	3	1
Mom_C3-B14	1	1	14	Mother	Serum	FALSE	3	1
Mom_C3-B21	1	1	21	Mother	Serum	FALSE	3	1
Mom_C3-B7	1	1	7	Mother	Serum	FALSE	3	1
Mom_C4-B1	1	1	1	Mother	Serum	FALSE	4	1
Mom_C4-B14	1	1	14	Mother	Serum	FALSE	4	1
Mom_C4-B21	1	1	21	Mother	Serum	FALSE	4	1
Mom_C4-B7	1	1	7	Mother	Serum	FALSE	4	1
Mom_C5-B1	1	1	1	Mother	Serum	FALSE	5	1
Mom_C5-B14	1	1	14	Mother	Serum	FALSE	5	1
Mom_C5-B21	1	1	21	Mother	Serum	FALSE	5	1
Mom_C5-B7	1	1	7	Mother	Serum	FALSE	5	1
Mom_C6-B1	1	1	1	Mother	Serum	TRUE	6	1
Mom_C6-B14	1	1	14	Mother	Serum	TRUE	6	1
Mom_C6-B21	1	1	21	Mother	Serum	TRUE	6	1
Mom_C6-B7	1	1	7	Mother	Serum	TRUE	6	1
Mom_C7-B1	1	1	1	Mother	Serum	TRUE	7	1
Mom_C7-B14	1	1	14	Mother	Serum	TRUE	7	1
Mom_C7-B21	1	1	21	Mother	Serum	TRUE	7	1
Mom_C7-B7	1	1	7	Mother	Serum	TRUE	7	1
Mom_C8-B1	1	1	1	Mother	Serum	TRUE	8	1
Mom_C8-B14	1	1	14	Mother	Serum	TRUE	8	1
Mom_C8-B21	1	1	21	Mother	Serum	TRUE	8	1
Mom_C8-B7	1	1	7	Mother	Serum	TRUE	8	1
Mom_C9-B14	1	1	14	Mother	Serum	TRUE	9	1
Mom_C9-B21	1	1	21	Mother	Serum	TRUE	9	1
Mom_C9-B7	1	1	7	Mother	Serum	TRUE	9	1
ME_C1_D1_Hypo1_2	1	2	1	Mother	Fecal	TRUE	1	3
ME_C1_D14_Hypo1_2	1	2	14	Mother	Fecal	TRUE	1	3
ME_C1_D21_Hypo1_2	1	2	21	Mother	Fecal	TRUE	1	3
ME_C1_D7_Hypo1_2	1	2	7	Mother	Fecal	TRUE	1	3
ME_C1_G16_Hypo1_2	1	2	-3	Mother	Fecal	TRUE	1	3
ME_C1_G18_Hypo1_2	1	2	-1	Mother	Fecal	TRUE	1	3
ME_C13_D1_Hypo1_2	1	2	1	Mother	Fecal	FALSE	13	3
ME_C13_D14_Hypo1_2	1	2	14	Mother	Fecal	FALSE	13	3
ME_C13_D21_Hypo1_2	1	2	21	Mother	Fecal	FALSE	13	3
ME_C13_D7_Hypo1_2	1	2	7	Mother	Fecal	FALSE	13	3
ME_C13_G16_Hypo1_2	1	2	-3	Mother	Fecal	FALSE	13	3
ME_C13_G18_Hypo1_2	1	2	-1	Mother	Fecal	FALSE	13	3
ME_C4_D1_Hypo1_2	1	2	1	Mother	Fecal	TRUE	4	3
ME_C4_D14_Hypo1_2	1	2	14	Mother	Fecal	TRUE	4	3
ME_C4_D21_Hypo1_2	1	2	21	Mother	Fecal	TRUE	4	3
ME_C4_D7_Hypo1_2	1	2	7	Mother	Fecal	TRUE	4	3
ME_C4_G16_Hypo1_2	1	2	-3	Mother	Fecal	TRUE	4	3
ME_C4_G18_Hypo1_2	1	2	-1	Mother	Fecal	TRUE	4	3
ME_C7_D1_Hypo1_2	1	2	1	Mother	Fecal	FALSE	7	3
ME_C7_D14_Hypo1_2	1	2	14	Mother	Fecal	FALSE	7	3
ME_C7_D21_Hypo1_2	1	2	21	Mother	Fecal	FALSE	7	3
ME_C7_D7_Hypo1_2	1	2	7	Mother	Fecal	FALSE	7	3
ME_C7_G16_Hypo1_2	1	2	-3	Mother	Fecal	FALSE	7	3
ME_C7_G18_Hypo1_2	1	2	-1	Mother	Fecal	FALSE	7	3
MEI_C1_D14_Hypo1_2	1	2	14	Infant	Fecal	TRUE	1	3
MEI_C1_D21_Hypo1_2	1	2	21	Infant	Fecal	TRUE	1	3
MEI_C1_D7_Hypo1_2	1	2	7	Infant	Fecal	TRUE	1	3
MEI_C13_D14_Hypo1_2	1	2	14	Infant	Fecal	FALSE	13	3
MEI_C13_D21_Hypo1_2	1	2	21	Infant	Fecal	FALSE	13	3
MEI_C13_D7_Hypo1_2	1	2	7	Infant	Fecal	FALSE	13	3
MEI_C4_D14_Hypo1_2	1	2	14	Infant	Fecal	TRUE	4	3
MEI_C4_D21_Hypo1_2	1	2	21	Infant	Fecal	TRUE	4	3
MEI_C4_D7_Hypo1_2	1	2	7	Infant	Fecal	TRUE	4	3
MEI_C7_D14_Hypo1_2	1	2	14	Infant	Fecal	FALSE	7	3
MEI_C7_D21_Hypo1_2	1	2	21	Infant	Fecal	FALSE	7	3
MEI_C7_D7_Hypo1_2	1	2	7	Infant	Fecal	FALSE	7	3
1	2	1	42	Infant	Serum	FALSE	10	2
2	2	1	42	Infant	Serum	FALSE	10	2
3	2	1	42	Infant	Serum	FALSE	1	2
4	2	1	42	Infant	Serum	FALSE	1	2
5	2	1	42	Infant	Serum	FALSE	1	2
6	2	1	42	Infant	Serum	FALSE	1	2
7	2	1	42	Infant	Serum	FALSE	1	2
8	2	1	42	Infant	Serum	FALSE	4	2
9	2	1	42	Infant	Serum	FALSE	4	2
10	2	1	42	Infant	Serum	FALSE	4	2
11	2	1	42	Infant	Serum	FALSE	4	2
12	2	1	42	Infant	Serum	FALSE	4	2
13	2	1	42	Infant	Serum	FALSE	10	2
14	2	1	42	Infant	Serum	FALSE	10	2
15	2	1	42	Infant	Serum	FALSE	10	2
16	2	1	42	Infant	Serum	TRUE	6	2
17	2	1	42	Infant	Serum	TRUE	6	2
18	2	1	42	Infant	Serum	TRUE	7	2
19	2	1	42	Infant	Serum	TRUE	7	2
20	2	1	42	Infant	Serum	TRUE	7	2
21	2	1	42	Infant	Serum	TRUE	7	2
22	2	1	42	Infant	Serum	TRUE	6	2
23	2	1	42	Infant	Serum	TRUE	6	2
24	2	1	42	Infant	Serum	TRUE	6	2
25	2	1	42	Infant	Serum	TRUE	7	2
26	2	1	42	Infant	Serum	TRUE	7	2
27	2	1	42	Infant	Serum	TRUE	7	2
28	2	1	42	Infant	Serum	TRUE	7	2
29	2	1	42	Infant	Serum	TRUE	6	2
30	2	1	42	Infant	Serum	TRUE	6	2
ME_C1_B1	2	1	1	Mother	Fecal	FALSE	1	2
ME_C1_B14	2	1	14	Mother	Fecal	FALSE	1	2
ME_C1_B2	2	1	2	Mother	Fecal	FALSE	1	2
ME_C1_B21	2	1	21	Mother	Fecal	FALSE	1	2
ME_C1_B3	2	1	3	Mother	Fecal	FALSE	1	2
ME_C1_B7	2	1	7	Mother	Fecal	FALSE	1	2
ME_C10_B1	2	1	1	Mother	Fecal	FALSE	10	2
ME_C10_B14	2	1	14	Mother	Fecal	FALSE	10	2
ME_C10_B2	2	1	2	Mother	Fecal	FALSE	10	2
ME_C10_B21	2	1	21	Mother	Fecal	FALSE	10	2
ME_C10_B3	2	1	3	Mother	Fecal	FALSE	10	2
ME_C10_B7	2	1	7	Mother	Fecal	FALSE	10	2
ME_C3_2_B1	2	1	1	Mother	Fecal	TRUE	3_2	2
ME_C3_2_B14	2	1	14	Mother	Fecal	TRUE	3_2	2
ME_C3_2_B2	2	1	2	Mother	Fecal	TRUE	3_2	2
ME_C3_2_B21	2	1	21	Mother	Fecal	TRUE	3_2	2
ME_C3_2_B3	2	1	3	Mother	Fecal	TRUE	3_2	2
ME_C3_2_B7	2	1	7	Mother	Fecal	TRUE	3_2	2
