Sample	Hypothesis	Batch	Days_Post_Birth	Mother_Infant	Type	AMP	Cage	Run
ME_C4_2_B1	2	1	1	Mother	Fecal	FALSE	4_2	2
ME_C4_2_B14	2	1	14	Mother	Fecal	FALSE	4_2	2
ME_C4_2_B2	2	1	2	Mother	Fecal	FALSE	4_2	2
ME_C4_2_B21	2	1	21	Mother	Fecal	FALSE	4_2	2
ME_C4_2_B3	2	1	3	Mother	Fecal	FALSE	4_2	2
ME_C4_2_B7	2	1	7	Mother	Fecal	FALSE	4_2	2
ME_C4_B1	2	1	1	Mother	Fecal	FALSE	4	2
ME_C4_B14	2	1	14	Mother	Fecal	FALSE	4	2
ME_C4_B2	2	1	2	Mother	Fecal	FALSE	4	2
ME_C4_B21	2	1	21	Mother	Fecal	FALSE	4	2
ME_C4_B3	2	1	3	Mother	Fecal	FALSE	4	2
ME_C4_B7	2	1	7	Mother	Fecal	FALSE	4	2
ME_C5_B1	2	1	1	Mother	Fecal	TRUE	5	2
ME_C5_B14	2	1	14	Mother	Fecal	TRUE	5	2
ME_C5_B2	2	1	2	Mother	Fecal	TRUE	5	2
ME_C5_B21	2	1	21	Mother	Fecal	TRUE	5	2
ME_C5_B3	2	1	3	Mother	Fecal	TRUE	5	2
ME_C5_B7	2	1	7	Mother	Fecal	TRUE	5	2
ME_C6_B1	2	1	1	Mother	Fecal	TRUE	6	2
ME_C6_B14	2	1	14	Mother	Fecal	TRUE	6	2
ME_C6_B2	2	1	2	Mother	Fecal	TRUE	6	2
ME_C6_B21	2	1	21	Mother	Fecal	TRUE	6	2
ME_C6_B3	2	1	3	Mother	Fecal	TRUE	6	2
ME_C6_B7	2	1	7	Mother	Fecal	TRUE	6	2
ME_C7_2_B1	2	1	1	Mother	Fecal	FALSE	7_2	2
ME_C7_2_B14	2	1	14	Mother	Fecal	FALSE	7_2	2
ME_C7_2_B2	2	1	2	Mother	Fecal	FALSE	7_2	2
ME_C7_2_B21	2	1	21	Mother	Fecal	FALSE	7_2	2
ME_C7_2_B3	2	1	3	Mother	Fecal	FALSE	7_2	2
ME_C7_2_B7	2	1	7	Mother	Fecal	FALSE	7_2	2
ME_C7_B1	2	1	1	Mother	Fecal	TRUE	7	2
ME_C7_B14	2	1	14	Mother	Fecal	TRUE	7	2
ME_C7_B2	2	1	2	Mother	Fecal	TRUE	7	2
ME_C7_B21	2	1	21	Mother	Fecal	TRUE	7	2
ME_C7_B3	2	1	3	Mother	Fecal	TRUE	7	2
ME_C7_B7	2	1	7	Mother	Fecal	TRUE	7	2
ME_C9_2_B1	2	1	1	Mother	Fecal	TRUE	9_2	2
ME_C9_2_B14	2	1	14	Mother	Fecal	TRUE	9_2	2
ME_C9_2_B2	2	1	2	Mother	Fecal	TRUE	9_2	2
ME_C9_2_B21	2	1	21	Mother	Fecal	TRUE	9_2	2
ME_C9_2_B3	2	1	3	Mother	Fecal	TRUE	9_2	2
ME_C9_2_B7	2	1	7	Mother	Fecal	TRUE	9_2	2
MEI_C1_B14	2	1	14	Infant	Fecal	FALSE	1	2
MEI_C1_B21	2	1	21	Infant	Fecal	FALSE	1	2
MEI_C10_B14	2	1	14	Infant	Fecal	FALSE	10	2
MEI_C10_B21	2	1	21	Infant	Fecal	FALSE	10	2
MEI_C10_B7	2	1	7	Infant	Fecal	FALSE	10	2
MEI_C3_2_B14	2	1	14	Infant	Fecal	TRUE	3_2	2
MEI_C3_2_B21	2	1	21	Infant	Fecal	TRUE	3_2	2
MEI_C3_2_B7	2	1	7	Infant	Fecal	TRUE	3_2	2
MEI_C4_2_B14	2	1	14	Infant	Fecal	FALSE	4_2	2
MEI_C4_2_B21	2	1	21	Infant	Fecal	FALSE	4_2	2
MEI_C4_2_B7	2	1	7	Infant	Fecal	FALSE	4_2	2
MEI_C4_B14	2	1	14	Infant	Fecal	FALSE	4	2
MEI_C4_B21	2	1	21	Infant	Fecal	FALSE	4	2
MEI_C4_B7	2	1	7	Infant	Fecal	FALSE	4	2
MEI_C6_B14	2	1	14	Infant	Fecal	TRUE	6	2
MEI_C6_B21	2	1	21	Infant	Fecal	TRUE	6	2
MEI_C6_B7	2	1	7	Infant	Fecal	TRUE	6	2
MEI_C7_2_B14	2	1	14	Infant	Fecal	FALSE	7_2	2
MEI_C7_2_B21	2	1	21	Infant	Fecal	FALSE	7_2	2
MEI_C7_2_B7	2	1	7	Infant	Fecal	FALSE	7_2	2
MEI_C7_B14	2	1	14	Infant	Fecal	TRUE	7	2
MEI_C7_B21	2	1	21	Infant	Fecal	TRUE	7	2
MEI_C7_B7	2	1	7	Infant	Fecal	TRUE	7	2
MEI_C9_2_B14	2	1	14	Infant	Fecal	TRUE	9_2	2
MEI_C9_2_B21	2	1	21	Infant	Fecal	TRUE	9_2	2
MEI_C9_2_B7	2	1	7	Infant	Fecal	TRUE	9_2	2
MO_C1_B21	2	1	21	Infant	Serum	FALSE	1	2
MO_C10_B21	2	1	21	Infant	Serum	FALSE	10	2
MO_C3_2_B21	2	1	21	Infant	Serum	TRUE	3_2	2
MO_C4_2_B21	2	1	21	Infant	Serum	FALSE	4_2	2
MO_C4_B21	2	1	21	Infant	Serum	FALSE	4	2
MO_C6_B21	2	1	21	Infant	Serum	TRUE	6	2
MO_C7_2_B21	2	1	21	Infant	Serum	FALSE	7_2	2
MO_C7_B21	2	1	21	Infant	Serum	TRUE	7	2
MO_C9_2_B21	2	1	21	Infant	Serum	TRUE	9_2	2
Mom_C1_B21	2	1	21	Mother	Serum	FALSE	1	2
Mom_C10_B21	2	1	21	Mother	Serum	FALSE	10	2
Mom_C3_2_B21	2	1	21	Mother	Serum	TRUE	3_2	2
Mom_C4_2_B21	2	1	21	Mother	Serum	FALSE	4_2	2
Mom_C4_B21	2	1	21	Mother	Serum	FALSE	4	2
Mom_C5_B21	2	1	21	Mother	Serum	TRUE	5	2
Mom_C6_B21	2	1	21	Mother	Serum	TRUE	6	2
Mom_C7_2_B21	2	1	21	Mother	Serum	FALSE	7_2	2
Mom_C7_B21	2	1	21	Mother	Serum	TRUE	7	2
Mom_C9_2_B21	2	1	21	Mother	Serum	TRUE	9_2	2
ME_C1_B1_Hypo2_2	2	2	1	Mother	Fecal	TRUE	1	3
ME_C1_B14_Hypo2_2	2	2	14	Mother	Fecal	TRUE	1	3
ME_C1_B2_Hypo2_2	2	2	2	Mother	Fecal	TRUE	1	3
ME_C1_B21_Hypo2_2	2	2	21	Mother	Fecal	TRUE	1	3
ME_C1_B28_Hypo2_2	2	2	28	Mother	Fecal	TRUE	1	3
ME_C1_B3_Hypo2_2	2	2	3	Mother	Fecal	TRUE	1	3
ME_C1_B7_Hypo2_2	2	2	7	Mother	Fecal	TRUE	1	3
ME_C10_B1_Hypo2_2	2	2	1	Mother	Fecal	FALSE	10	3
ME_C10_B14_Hypo2_2	2	2	14	Mother	Fecal	FALSE	10	3
ME_C10_B2_Hypo2_2	2	2	2	Mother	Fecal	FALSE	10	3
ME_C10_B21_Hypo2_2	2	2	21	Mother	Fecal	FALSE	10	3
ME_C10_B28_Hypo2_2	2	2	28	Mother	Fecal	FALSE	10	3
ME_C10_B3_Hypo2_2	2	2	3	Mother	Fecal	FALSE	10	3
ME_C10_B7_Hypo2_2	2	2	7	Mother	Fecal	FALSE	10	3
ME_C2_B1_Hypo2_2	2	2	1	Mother	Fecal	TRUE	2	3
ME_C2_B14_Hypo2_2	2	2	14	Mother	Fecal	TRUE	2	3
ME_C2_B2_Hypo2_2	2	2	2	Mother	Fecal	TRUE	2	3
ME_C2_B21_Hypo2_2	2	2	21	Mother	Fecal	TRUE	2	3
ME_C2_B28_Hypo2_2	2	2	28	Mother	Fecal	TRUE	2	3
ME_C2_B3_Hypo2_2	2	2	3	Mother	Fecal	TRUE	2	3
ME_C2_B7_Hypo2_2	2	2	7	Mother	Fecal	TRUE	2	3
ME_C3_B1_Hypo2_2	2	2	1	Mother	Fecal	TRUE	3	3
ME_C3_B14_Hypo2_2	2	2	14	Mother	Fecal	TRUE	3	3
ME_C3_B2_Hypo2_2	2	2	2	Mother	Fecal	TRUE	3	3
ME_C3_B21_Hypo2_2	2	2	21	Mother	Fecal	TRUE	3	3
ME_C3_B28_Hypo2_2	2	2	28	Mother	Fecal	TRUE	3	3
ME_C3_B3_Hypo2_2	2	2	3	Mother	Fecal	TRUE	3	3
ME_C3_B7_Hypo2_2	2	2	7	Mother	Fecal	TRUE	3	3
ME_C4_B1_Hypo2_2	2	2	1	Mother	Fecal	TRUE	4	3
ME_C4_B14_Hypo2_2	2	2	14	Mother	Fecal	TRUE	4	3
ME_C4_B2_Hypo2_2	2	2	2	Mother	Fecal	TRUE	4	3
ME_C4_B21_Hypo2_2	2	2	21	Mother	Fecal	TRUE	4	3
ME_C4_B28_Hypo2_2	2	2	28	Mother	Fecal	TRUE	4	3
ME_C4_B3_Hypo2_2	2	2	3	Mother	Fecal	TRUE	4	3
ME_C4_B7_Hypo2_2	2	2	7	Mother	Fecal	TRUE	4	3
ME_C5_B1_Hypo2_2	2	2	1	Mother	Fecal	TRUE	5	3
ME_C5_B14_Hypo2_2	2	2	14	Mother	Fecal	TRUE	5	3
ME_C5_B2_Hypo2_2	2	2	2	Mother	Fecal	TRUE	5	3
ME_C5_B21_Hypo2_2	2	2	21	Mother	Fecal	TRUE	5	3
ME_C5_B28_Hypo2_2	2	2	28	Mother	Fecal	TRUE	5	3
ME_C5_B3_Hypo2_2	2	2	3	Mother	Fecal	TRUE	5	3
ME_C5_B7_Hypo2_2	2	2	7	Mother	Fecal	TRUE	5	3
ME_C6_B1_Hypo2_2	2	2	1	Mother	Fecal	FALSE	6	3
ME_C6_B14_Hypo2_2	2	2	14	Mother	Fecal	FALSE	6	3
ME_C6_B2_Hypo2_2	2	2	2	Mother	Fecal	FALSE	6	3
ME_C6_B21_Hypo2_2	2	2	21	Mother	Fecal	FALSE	6	3
ME_C6_B28_Hypo2_2	2	2	28	Mother	Fecal	FALSE	6	3
ME_C6_B3_Hypo2_2	2	2	3	Mother	Fecal	FALSE	6	3
ME_C6_B7_Hypo2_2	2	2	7	Mother	Fecal	FALSE	6	3
ME_C7_B1_Hypo2_2	2	2	1	Mother	Fecal	FALSE	7	3
ME_C7_B14_Hypo2_2	2	2	14	Mother	Fecal	FALSE	7	3
ME_C7_B2_Hypo2_2	2	2	2	Mother	Fecal	FALSE	7	3
ME_C7_B21_Hypo2_2	2	2	21	Mother	Fecal	FALSE	7	3
ME_C7_B28_Hypo2_2	2	2	28	Mother	Fecal	FALSE	7	3
ME_C7_B3_Hypo2_2	2	2	3	Mother	Fecal	FALSE	7	3
ME_C7_B7_Hypo2_2	2	2	7	Mother	Fecal	FALSE	7	3
ME_C8_B1_Hypo2_2	2	2	1	Mother	Fecal	FALSE	8	3
ME_C8_B14_Hypo2_2	2	2	14	Mother	Fecal	FALSE	8	3
ME_C8_B2_Hypo2_2	2	2	2	Mother	Fecal	FALSE	8	3
ME_C8_B21_Hypo2_2	2	2	21	Mother	Fecal	FALSE	8	3
ME_C8_B28_Hypo2_2	2	2	28	Mother	Fecal	FALSE	8	3
ME_C8_B3_Hypo2_2	2	2	3	Mother	Fecal	FALSE	8	3
ME_C8_B7_Hypo2_2	2	2	7	Mother	Fecal	FALSE	8	3
ME_C9_B1_Hypo2_2	2	2	1	Mother	Fecal	FALSE	9	3
ME_C9_B14_Hypo2_2	2	2	14	Mother	Fecal	FALSE	9	3
ME_C9_B2_Hypo2_2	2	2	2	Mother	Fecal	FALSE	9	3
ME_C9_B21_Hypo2_2	2	2	21	Mother	Fecal	FALSE	9	3
ME_C9_B28_Hypo2_2	2	2	28	Mother	Fecal	FALSE	9	3
ME_C9_B3_Hypo2_2	2	2	3	Mother	Fecal	FALSE	9	3
ME_C9_B7_Hypo2_2	2	2	7	Mother	Fecal	FALSE	9	3
ME_C1_D1_Hypo3_1	3	1	1	Mother	Fecal	FALSE	1	3
ME_C1_D10_Hypo3_1	3	1	10	Mother	Fecal	FALSE	1	3
ME_C1_D20_Hypo3_1	3	1	21	Mother	Fecal	FALSE	1	3
ME_C2_D1_Hypo3_1	3	1	1	Mother	Fecal	FALSE	2	3
ME_C2_D10_Hypo3_1	3	1	10	Mother	Fecal	FALSE	2	3
ME_C2_D20_Hypo3_1	3	1	21	Mother	Fecal	FALSE	2	3
ME_C3_D1_Hypo3_1	3	1	1	Mother	Fecal	TRUE	3	3
ME_C3_D10_Hypo3_1	3	1	10	Mother	Fecal	TRUE	3	3
ME_C3_D20_Hypo3_1	3	1	21	Mother	Fecal	TRUE	3	3
ME_C4_D1_Hypo3_1	3	1	1	Mother	Fecal	TRUE	4	3
ME_C4_D10_Hypo3_1	3	1	10	Mother	Fecal	TRUE	4	3
ME_C4_D20_Hypo3_1	3	1	21	Mother	Fecal	TRUE	4	3
MEI_C1_D10_Hypo3_1	3	1	10	Infant	Fecal	FALSE	1	3
MEI_C1_D20_Hypo3_1	3	1	21	Infant	Fecal	FALSE	1	3
MEI_C2_D10_Hypo3_1	3	1	10	Infant	Fecal	FALSE	2	3
MEI_C2_D20_Hypo3_1	3	1	21	Infant	Fecal	FALSE	2	3
MEI_C3_D10_Hypo3_1	3	1	10	Infant	Fecal	TRUE	3	3
MEI_C3_D20_Hypo3_1	3	1	21	Infant	Fecal	TRUE	3	3
MEI_C4_D10_Hypo3_1	3	1	10	Infant	Fecal	TRUE	4	3
MEI_C4_D20_Hypo3_1	3	1	21	Infant	Fecal	TRUE	4	3
ME_C1_D1_Hypo3_2	3	2	1	Mother	Fecal	FALSE	1	3
ME_C1_D10_Hypo3_2	3	2	10	Mother	Fecal	FALSE	1	3
ME_C1_D20_Hypo3_2	3	2	21	Mother	Fecal	FALSE	1	3
ME_C2_D1_Hypo3_2	3	2	1	Mother	Fecal	FALSE	2	3
ME_C2_D10_Hypo3_2	3	2	10	Mother	Fecal	FALSE	2	3
ME_C2_D20_Hypo3_2	3	2	21	Mother	Fecal	FALSE	2	3
ME_C3_D1_Hypo3_2	3	2	1	Mother	Fecal	FALSE	3	3
ME_C3_D10_Hypo3_2	3	2	10	Mother	Fecal	FALSE	3	3
ME_C3_D20_Hypo3_2	3	2	21	Mother	Fecal	FALSE	3	3
ME_C4_D1_Hypo3_2	3	2	1	Mother	Fecal	FALSE	4	3
ME_C4_D10_Hypo3_2	3	2	10	Mother	Fecal	FALSE	4	3
ME_C4_D20_Hypo3_2	3	2	21	Mother	Fecal	FALSE	4	3
ME_C5_D1_Hypo3_2	3	2	1	Mother	Fecal	TRUE	5	3
ME_C5_D10_Hypo3_2	3	2	10	Mother	Fecal	TRUE	5	3
ME_C5_D20_Hypo3_2	3	2	21	Mother	Fecal	TRUE	5	3
ME_C6_D1_Hypo3_2	3	2	1	Mother	Fecal	TRUE	6	3
ME_C6_D10_Hypo3_2	3	2	10	Mother	Fecal	TRUE	6	3
ME_C6_D20_Hypo3_2	3	2	21	Mother	Fecal	TRUE	6	3
ME_C7_D1_Hypo3_2	3	2	1	Mother	Fecal	TRUE	7	3
ME_C7_D10_Hypo3_2	3	2	10	Mother	Fecal	TRUE	7	3
ME_C7_D20_Hypo3_2	3	2	21	Mother	Fecal	TRUE	7	3
ME_C8_D1_Hypo3_2	3	2	1	Mother	Fecal	TRUE	8	3
ME_C8_D10_Hypo3_2	3	2	10	Mother	Fecal	TRUE	8	3
ME_C8_D20_Hypo3_2	3	2	21	Mother	Fecal	TRUE	8	3
MEI_C2_D10_Hypo3_2	3	2	10	Infant	Fecal	FALSE	2	3
MEI_C2_D20_Hypo3_2	3	2	21	Infant	Fecal	FALSE	2	3
MEI_C3_D10_Hypo3_2	3	2	10	Infant	Fecal	FALSE	3	3
MEI_C3_D20_Hypo3_2	3	2	21	Infant	Fecal	FALSE	3	3
MEI_C4_D10_Hypo3_2	3	2	10	Infant	Fecal	FALSE	4	3
MEI_C4_D20_Hypo3_2	3	2	21	Infant	Fecal	FALSE	4	3
MEI_C5_D10_Hypo3_2	3	2	10	Infant	Fecal	TRUE	5	3
MEI_C5_D20_Hypo3_2	3	2	21	Infant	Fecal	TRUE	5	3
MEI_C6_D10_Hypo3_2	3	2	10	Infant	Fecal	TRUE	6	3
MEI_C6_D20_Hypo3_2	3	2	21	Infant	Fecal	TRUE	6	3
MEI_C7_D10_Hypo3_2	3	2	10	Infant	Fecal	TRUE	7	3
MEI_C7_D20_Hypo3_2	3	2	21	Infant	Fecal	TRUE	7	3
MEI_C8_D10_Hypo3_2	3	2	10	Infant	Fecal	TRUE	8	3
MEI_C8_D20_Hypo3_2	3	2	21	Infant	Fecal	TRUE	8	3
